molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50
CHEMBL1254443,IC50,nM,1200.0,IC50,uM,1.2,Cc1ccccc1Cc1cc2c(N(C)c3cccc(Br)c3)nc(N)nc2n1C,5.920818753952375
CHEMBL1254444,IC50,nM,143500.0,IC50,uM,143.5,COc1ccc(OC)c(Cc2cc3c(N(C)c4cccc(Br)c4)nc(N)nc3[nH]2)c1,3.843148098929989
CHEMBL1254523,IC50,nM,500.0,IC50,uM,0.5,COc1ccc(OC)c(Cc2cc3c(N(C)c4cccc(Br)c4)nc(N)nc3n2C)c1,6.301029995663981
CHEMBL1257795,IC50,nM,10900.0,IC50,uM,10.9,N#Cc1ccc2c(c1)C(c1ccccc1F)=Nc1c[nH]nc1N2,4.962573502059376
CHEMBL1257911,IC50,nM,989.0,IC50,uM,0.989,Nc1ccc2c(c1)C(c1ccccc1Cl)=Nc1c[nH]nc1N2,6.004803708402821
CHEMBL1257912,IC50,nM,726.0,IC50,uM,0.726,CC(=O)Nc1ccc2c(c1)C(c1ccccc1Cl)=Nc1c[nH]nc1N2,6.139063379299906
CHEMBL1257998,IC50,nM,2300.0,IC50,nM,2300.0,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,5.638272163982407
CHEMBL1256432,IC50,nM,2880.0,IC50,nM,2880.0,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1,5.540607512240769
CHEMBL1271950,IC50,nM,720.0,IC50,uM,0.72,OC[C@@H](Nc1ncnc2sc3c(c12)CCCC3)c1ccccc1,6.142667503568732
CHEMBL1272006,IC50,nM,1090.0,IC50,uM,1.09,OC[C@@H](Nc1ncnc2sc3c(c12)CCC3)c1ccccc1,5.962573502059376
